id;name;nacionality
16;AMERICAN SAMOA;
74;BOUVET ISLAND;
101;ARGENTINA;
102;BOLIVIA;
103;BRASIL;
104;CANADA;
105;COLOMBIA;
106;COSTA RICA;
107;CUBA;
108;CHILE;
109;ANGUILA;
110;ESTADOS UNIDOS;
111;GUATEMALA;
112;HAITI;
113;HONDURAS;
114;JAMAICA;
115;MALVINAS  ISLAS;
116;MEXICO;
117;NICARAGUA;
118;PANAMA;
119;PARAGUAY;
120;PERU;
121;PUERTO RICO;
122;REPUBLICA DOMINICANA;
123;EL SALVADOR;
124;TRINIDAD Y TOBAGO;
125;URUGUAY;
126;VENEZUELA;
127;CURAZAO;
129;BAHAMAS;
130;BARBADOS;
131;GRANADA;
132;GUYANA;
133;SURINAM;
134;ANTIGUA Y BARBUDA;
135;BELICE;
136;DOMINICA;
137;SAN CRISTOBAL Y NEVIS;
138;SANTA LUCIA;
139;SAN VICENTE Y LAS GRANAD.;
140;ANTILLAS HOLANDESAS;
141;ARUBA;
142;BERMUDA;
143;GUADALUPE;
144;GUYANA FRANCESA;
145;ISLAS CAIMAN;
146;ISLAS VIRGENES (BRITANICAS);
147;JOHNSTON ISLA;
148;MARTINICA;
149;MONTSERRAT ISLA;
151;TURCAS  Y CAICOS ISLAS;
152;VIRGENES,ISLAS(NORT.AMER.);
201;ALBANIA;
202;ALEMANIA;
203;AUSTRIA;
204;BELGICA;
205;BULGARIA;
207;ALBORAN Y PEREJIL;
208;DINAMARCA;
209;ESPA•A;
211;FRANCIA;
212;FINLANDIA;
213;REINO UNIDO;
214;GRECIA;
215;PAISES BAJOS (HOLANDA);
216;HUNGRIA;
217;IRLANDA;
218;ISLANDIA;
219;ITALIA;
220;LUXEMBURGO;
221;MALTA;
222;NORUEGA;
223;POLONIA;
224;PORTUGAL;
225;RUMANIA;
226;SUECIA;
227;SUIZA;
228;CANARIAS  ISLAS;
229;UCRANIA;
230;RUSIA;
231;YUGOSLAVIA;
233;ANDORRA;
234;LIECHTENSTEIN;
235;MONACO;
237;SAN MARINO;
238;VATICANO (SANTA SEDE);
239;GIBRALTAR;
241;BELARUS;
242;BOSNIA Y HERZEGOVINA;
243;CROACIA;
244;ESLOVENIA;
245;ESTONIA;
246;GEORGIA;
247;GROENLANDIA;
248;LETONIA;
249;LITUANIA;
250;MOLDOVA;
251;MACEDONIA;
252;ESLOVAQUIA;
253;ISLAS FAROE;
260;FRENCH SOUTHERN TERRITORIES;
301;AFGANISTAN;
302;ARABIA SAUDITA;
303;MYANMAR (BURMA);
304;CAMBOYA;
306;COREA NORTE;
307;TAIWAN (CHINA);
308;FILIPINAS;
309;INDIA;
310;INDONESIA;
311;IRAK;
312;IRAN (REPUBLICA ISLAMICA);
313;ISRAEL;
314;JAPON;
